Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,2,9,63,0,Some Random Commen with Id 0
1,2,9,173,3,Some Random Commen with Id 1
2,3,2,80,3,Some Random Commen with Id 2
3,3,2,34,5,Some Random Commen with Id 3
4,3,2,189,6,Some Random Commen with Id 4
5,3,2,148,2,Some Random Commen with Id 5
6,4,3,142,3,Some Random Commen with Id 6
7,4,3,107,4,Some Random Commen with Id 7
8,4,3,119,1,Some Random Commen with Id 8
9,4,3,37,4,Some Random Commen with Id 9
10,5,6,165,4,Some Random Commen with Id 10
11,5,6,155,8,Some Random Commen with Id 11
12,5,6,36,1,Some Random Commen with Id 12
13,7,2,184,7,Some Random Commen with Id 13
14,7,2,43,4,Some Random Commen with Id 14
15,7,2,60,6,Some Random Commen with Id 15
16,7,2,98,5,Some Random Commen with Id 16
17,7,2,48,7,Some Random Commen with Id 17
18,8,3,126,6,Some Random Commen with Id 18
19,8,3,130,9,Some Random Commen with Id 19
20,8,3,184,9,Some Random Commen with Id 20
21,8,3,197,6,Some Random Commen with Id 21
22,8,3,175,1,Some Random Commen with Id 22
23,8,3,39,2,Some Random Commen with Id 23
24,9,3,107,7,Some Random Commen with Id 24
25,9,3,92,0,Some Random Commen with Id 25
26,9,3,119,8,Some Random Commen with Id 26
27,9,3,27,5,Some Random Commen with Id 27
28,9,3,118,0,Some Random Commen with Id 28
29,10,7,141,3,Some Random Commen with Id 29
30,10,7,17,1,Some Random Commen with Id 30
31,10,7,12,6,Some Random Commen with Id 31
32,10,7,36,9,Some Random Commen with Id 32
33,10,7,36,9,Some Random Commen with Id 33
34,10,7,186,0,Some Random Commen with Id 34
35,10,7,175,9,Some Random Commen with Id 35
36,11,9,104,4,Some Random Commen with Id 36
37,11,9,34,4,Some Random Commen with Id 37
38,11,9,176,9,Some Random Commen with Id 38
39,11,9,45,3,Some Random Commen with Id 39
40,11,9,26,6,Some Random Commen with Id 40
41,12,7,180,7,Some Random Commen with Id 41
42,12,7,26,1,Some Random Commen with Id 42
43,12,7,42,9,Some Random Commen with Id 43
44,12,7,115,9,Some Random Commen with Id 44
45,12,7,113,9,Some Random Commen with Id 45
46,13,3,140,5,Some Random Commen with Id 46
47,13,3,161,7,Some Random Commen with Id 47
48,13,3,95,3,Some Random Commen with Id 48
49,13,3,176,9,Some Random Commen with Id 49
50,13,3,150,7,Some Random Commen with Id 50
51,13,3,122,1,Some Random Commen with Id 51
52,14,8,51,8,Some Random Commen with Id 52
53,14,8,22,6,Some Random Commen with Id 53
54,14,8,183,1,Some Random Commen with Id 54
55,14,8,58,0,Some Random Commen with Id 55
56,14,8,166,7,Some Random Commen with Id 56
57,14,8,133,5,Some Random Commen with Id 57
58,14,8,160,3,Some Random Commen with Id 58
59,16,3,8,8,Some Random Commen with Id 59
60,16,3,137,2,Some Random Commen with Id 60
61,17,1,179,8,Some Random Commen with Id 61
62,17,1,147,8,Some Random Commen with Id 62
63,17,1,161,4,Some Random Commen with Id 63
64,17,1,110,2,Some Random Commen with Id 64
65,17,1,74,0,Some Random Commen with Id 65
66,17,1,70,1,Some Random Commen with Id 66
67,17,1,23,3,Some Random Commen with Id 67
68,19,1,50,8,Some Random Commen with Id 68
69,20,3,18,4,Some Random Commen with Id 69
70,21,2,42,1,Some Random Commen with Id 70
71,21,2,199,0,Some Random Commen with Id 71
72,21,2,126,0,Some Random Commen with Id 72
73,21,2,23,4,Some Random Commen with Id 73
74,22,8,90,5,Some Random Commen with Id 74
75,23,1,54,0,Some Random Commen with Id 75
76,23,1,183,1,Some Random Commen with Id 76
77,23,1,39,9,Some Random Commen with Id 77
78,24,1,66,3,Some Random Commen with Id 78
79,25,3,31,1,Some Random Commen with Id 79
80,25,3,32,9,Some Random Commen with Id 80
81,25,3,81,3,Some Random Commen with Id 81
82,25,3,24,1,Some Random Commen with Id 82
83,26,4,165,2,Some Random Commen with Id 83
84,26,4,126,8,Some Random Commen with Id 84
85,26,4,38,0,Some Random Commen with Id 85
86,26,4,145,4,Some Random Commen with Id 86
87,26,4,54,2,Some Random Commen with Id 87
88,27,0,94,0,Some Random Commen with Id 88
89,27,0,98,4,Some Random Commen with Id 89
90,27,0,7,1,Some Random Commen with Id 90
91,27,0,122,6,Some Random Commen with Id 91
92,27,0,33,7,Some Random Commen with Id 92
93,27,0,9,9,Some Random Commen with Id 93
94,27,0,165,9,Some Random Commen with Id 94
95,27,0,69,0,Some Random Commen with Id 95
96,28,4,74,5,Some Random Commen with Id 96
97,28,4,58,4,Some Random Commen with Id 97
98,28,4,28,9,Some Random Commen with Id 98
99,29,1,139,5,Some Random Commen with Id 99
100,29,1,136,4,Some Random Commen with Id 100
101,29,1,162,5,Some Random Commen with Id 101
102,29,1,61,4,Some Random Commen with Id 102
103,30,6,58,7,Some Random Commen with Id 103
104,30,6,12,3,Some Random Commen with Id 104
105,30,6,52,4,Some Random Commen with Id 105
106,30,6,103,7,Some Random Commen with Id 106
107,30,6,88,5,Some Random Commen with Id 107
108,30,6,56,2,Some Random Commen with Id 108
109,32,5,113,5,Some Random Commen with Id 109
110,32,5,23,4,Some Random Commen with Id 110
111,32,5,24,3,Some Random Commen with Id 111
112,32,5,74,8,Some Random Commen with Id 112
113,32,5,48,6,Some Random Commen with Id 113
114,32,5,36,5,Some Random Commen with Id 114
115,34,1,177,0,Some Random Commen with Id 115
116,34,1,164,7,Some Random Commen with Id 116
117,34,1,192,6,Some Random Commen with Id 117
118,34,1,149,7,Some Random Commen with Id 118
119,35,0,109,0,Some Random Commen with Id 119
120,35,0,73,9,Some Random Commen with Id 120
121,35,0,33,2,Some Random Commen with Id 121
122,35,0,77,3,Some Random Commen with Id 122
123,36,3,89,1,Some Random Commen with Id 123
124,36,3,164,2,Some Random Commen with Id 124
125,36,3,34,4,Some Random Commen with Id 125
126,36,3,106,3,Some Random Commen with Id 126
127,37,2,133,0,Some Random Commen with Id 127
128,37,2,111,2,Some Random Commen with Id 128
129,37,2,29,0,Some Random Commen with Id 129
130,37,2,123,1,Some Random Commen with Id 130
131,37,2,47,8,Some Random Commen with Id 131
132,38,7,177,5,Some Random Commen with Id 132
133,38,7,98,1,Some Random Commen with Id 133
134,38,7,28,1,Some Random Commen with Id 134
135,38,7,122,4,Some Random Commen with Id 135
136,38,7,63,4,Some Random Commen with Id 136
137,38,7,97,3,Some Random Commen with Id 137
138,39,0,59,8,Some Random Commen with Id 138
139,39,0,25,1,Some Random Commen with Id 139
140,39,0,136,9,Some Random Commen with Id 140
141,39,0,197,8,Some Random Commen with Id 141
